,,,,0.40000E-11,,,,,0.10000E+00
,,,,,,,,,,,,,,1

,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
,,,,0.50000E-01,,,,,0.00000E+00
,,,,,,,,,,,,865,,,,,0.00000E+00
.0000000000000000000000000E+00,.3600000000000000000000000E+07
.2000000000000000000000000E+03,.3600000000000000000000000E+07
.4000000000000000000000000E+03,.3600000000000000000000000E+07
.6000000000000000000000000E+03,.3600000000000000000000000E+07
.8000000000000000000000000E+03,.3599999999999999534338713E+07
.1000000000000000000000000E+04,.3599999999999925494194031E+07
.1200000000000000000000000E+04,.3599999999998024664819241E+07
.1400000000000000000000000E+04,.3599999999979012180119753E+07
.1600000000000000000000000E+04,.3599999999874518718570471E+07
.1800000000000000000000000E+04,.3599999999489615205675364E+07
.2000000000000000000000000E+04,.3599999998416852671653032E+07
.2200000000000000000000000E+04,.3599999995971670839935541E+07
.2400000000000000000000000E+04,.3599999991171270143240690E+07
.2600000000000000000000000E+04,.3599999982759064529091120E+07
.2800000000000000000000000E+04,.3599999969262924045324326E+07
.3000000000000000000000000E+04,.3599999949070901609957218E+07
.3200000000000000000000000E+04,.3599999920509990304708481E+07
.3400000000000000000000000E+04,.3599999881917911116033792E+07
.3600000000000000000000000E+04,.3599999831702471245080233E+07
.3800000000000000000000000E+04,.3599999768386553507298231E+07
.4000000000000000000000000E+04,.3599999690639130305498838E+07
.4200000000000000000000000E+04,.3599999597293942235410213E+07
.4400000000000000000000000E+04,.3599999487358040176331997E+07
.4600000000000000000000000E+04,.3599999360012447927147150E+07
.4800000000000000000000000E+04,.3599999214607029221951962E+07
.5000000000000000000000000E+04,.3599999050651324912905693E+07
.5200000000000000000000000E+04,.3599998867802812252193689E+07
.5400000000000000000000000E+04,.3599998665853704791516066E+07
.5600000000000000000000000E+04,.3599998444717144127935171E+07
.5800000000000000000000000E+04,.3599998204413392115384340E+07
.6000000000000000000000000E+04,.3599997945056458469480276E+07
.6200000000000000000000000E+04,.3599997666841440834105015E+07
.6400000000000000000000000E+04,.3599997370032749604433775E+07
.6600000000000000000000000E+04,.3599997054953313898295164E+07
.6800000000000000000000000E+04,.3599996721974792424589396E+07
.7000000000000000000000000E+04,.3599996371508790180087090E+07
.7200000000000000000000000E+04,.3599996003999029751867056E+07
.7400000000000000000000000E+04,.3599995619914439041167498E+07
.7600000000000000000000000E+04,.3599995219743076711893082E+07
.7800000000000000000000000E+04,.3599994803986835293471813E+07
.8000000000000000000000000E+04,.3599994373156843241304159E+07
.8200000000000000000000000E+04,.3599993927769503556191921E+07
.8400000000000000000000000E+04,.3599993468343097250908613E+07
.8600000000000000000000000E+04,.3599992995394891593605280E+07
.8800000000000000000000000E+04,.3599992509438693523406982E+07
.9000000000000000000000000E+04,.3599992010982799343764782E+07
.9200000000000000000000000E+04,.3599991500528288073837757E+07
.9400000000000000000000000E+04,.3599990978567617479711771E+07
.9600000000000000000000000E+04,.3599990445583482738584280E+07
.9800000000000000000000000E+04,.3599989902047906070947647E+07
.1000000000000000000000000E+05,.3599989348421524744480848E+07
.1020000000000000000000000E+05,.3599988785153046250343323E+07
.1040000000000000000000000E+05,.3599988212678855285048485E+07
.1060000000000000000000000E+05,.3599987631422745995223522E+07
.1080000000000000000000000E+05,.3599987041795758530497551E+07
.1100000000000000000000000E+05,.3599986444196109194308519E+07
.1120000000000000000000000E+05,.3599985839009201154112816E+07
.1140000000000000000000000E+05,.3599985226607692893594503E+07
.1160000000000000000000000E+05,.3599984607351626735180616E+07
.1180000000000000000000000E+05,.3599983981588599737733603E+07
.1200000000000000000000000E+05,.3599983349653970915824175E+07
.1220000000000000000000000E+05,.3599982711871101055294275E+07
.1240000000000000000000000E+05,.3599982068551611620932817E+07
.1260000000000000000000000E+05,.3599981419995667412877083E+07
.1280000000000000000000000E+05,.3599980766492269001901150E+07
.1300000000000000000000000E+05,.3599980108319557737559080E+07
.1320000000000000000000000E+05,.3599979445745127275586128E+07
.1340000000000000000000000E+05,.3599978779026339761912823E+07
.1360000000000000000000000E+05,.3599978108410641551017761E+07
.1380000000000000000000000E+05,.3599977434135883580893278E+07
.1400000000000000000000000E+05,.3599976756430634297430515E+07
.1420000000000000000000000E+05,.3599976075514494441449642E+07
.1440000000000000000000000E+05,.3599975391598404385149479E+07
.1460000000000000000000000E+05,.3599974704884946346282959E+07
.1480000000000000000000000E+05,.3599974015568644274026155E+07
.1500000000000000000000000E+05,.3599973323836250696331263E+07
.1520000000000000000000000E+05,.3599972629867033567279577E+07
.1540000000000000000000000E+05,.3599971933833051007241011E+07
.1560000000000000000000000E+05,.3599971235899419058114290E+07
.1580000000000000000000000E+05,.3599970536224573384970427E+07
.1600000000000000000000000E+05,.3599969834960522595793009E+07
.1620000000000000000000000E+05,.3599969132253089919686317E+07
.1640000000000000000000000E+05,.3599968428242154419422150E+07
.1660000000000000000000000E+05,.3599967723061875905841589E+07
.1680000000000000000000000E+05,.3599967016840917523950338E+07
.1700000000000000000000000E+05,.3599966309702659491449594E+07
.1720000000000000000000000E+05,.3599965601765403524041176E+07
.1740000000000000000000000E+05,.3599964893142571672797203E+07
.1760000000000000000000000E+05,.3599964183942896779626608E+07
.1780000000000000000000000E+05,.3599963474270606879144907E+07
.1800000000000000000000000E+05,.3599962764225601218640804E+07
.1820000000000000000000000E+05,.3599962053903621621429920E+07
.1840000000000000000000000E+05,.3599961343396414071321487E+07
.1860000000000000000000000E+05,.3599960632791887968778610E+07
.1880000000000000000000000E+05,.3599959922178166918456554E+07
