KNOWN VARIABLE VALUES
Porosity,Permeability
0.1,1e-14

KNOWN WELL PARAMETERS
Initial Pressure,Initial X,Layer Thickness,Action Well Radius,Rock Specific Heat,Rock Heat Conductivity,Rock Density,Rock Compressibility
3600000.0,240.0,100.0,0.0,1000.0,2.5,2500.0,0.0

GRID INFORMATION
Number of Grid Blocks,Number of Constant Sized Blocks,Constant Block Size,Block Growth Factor
100,20,0.01,1.2

PUMP INFORMATION
Pumping Scheme,Number of Pump Times,Deliverability,Production Index,Cutoff Pressure
Step Flows,1,0,0.0,0.0

Time [s],Mass Flowrate [kg/s]
43200.0,-5.0

OBSERVATION POINT 1
Property Observed,Radial Location [m],Number of Observations
Pressure,0.009999,644

Time [s],Observation
56435.45878693623,3302658.3829652034
56827.371695178845,3303588.08458793
57219.28460342146,3304442.7599162515
57611.19751166407,3305232.7876240974
58003.11041990668,3305966.510835425
58395.0233281493,3306650.929188165
58786.936236391906,3307291.9354644553
59178.84914463452,3307894.508920421
59570.76205287714,3308462.8743849676
59962.674961119745,3309000.6326979995
60354.58786936236,3311465.445390377
60746.500777604975,3315864.373962676
61138.41368584758,3317033.9761667214
61530.3265940902,3317625.7369813407
61922.23950233281,3318177.259416066
62314.15241057542,3318700.511033738
62706.06531881804,3319197.948464251
63097.97822706065,3319671.6626073774
63489.89113530326,3320123.5261620777
63881.804043545875,3321265.594412701
64273.71695178849,3325106.983017668
64665.6298600311,3329453.374528573
65057.54276827371,3329961.056157087
65449.45567651633,3330352.6120441332
65841.36858475894,3330724.0886508864
66233.28149300154,3331078.322816468
66625.19440124417,3331416.329804353
67017.10730948678,3331739.0552774966
67409.02021772938,3332462.7041730406
67800.933125972,3335969.291087319
68192.84603421461,3340786.929140084
68584.75894245722,3341162.4071422634
68976.67185069984,3341376.536465402
69368.58475894245,3341585.5180082293
69760.49766718506,3341793.632562736
70152.41057542768,3342001.0055870973
70544.32348367029,3342207.6538951797
70936.2363919129,3342413.5898397057
71328.14930015552,3352348.1067194473
71720.06220839813,3390196.737508542
72111.97511664074,3434880.6699626506
72503.88802488336,3454712.271393177
72895.80093312597,3466765.4983165553
73287.71384136858,3475409.879644529
73679.6267496112,3482150.1862248625
74071.5396578538,3487671.2336194743
74463.45256609641,3492342.898283884
74855.36547433904,3496388.1410556454
75247.27838258164,3499951.9681251068
75639.19129082425,3503134.0917562554
76031.10419906687,3506006.0698247324
76423.01710730948,3508621.021908294
76814.93001555209,3511019.478454363
77206.84292379471,3513233.07650897
