KNOWN VARIABLE VALUES
Porosity,Permeability
0.1,1e-14

KNOWN WELL PARAMETERS
Initial Pressure,Initial X,Layer Thickness,Action Well Radius,Rock Specific Heat,Rock Heat Conductivity,Rock Density,Rock Compressibility
3600000.0,240.0,100.0,0.0,1000.0,2.5,2500.0,0.0

GRID INFORMATION
Number of Grid Blocks,Number of Constant Sized Blocks,Constant Block Size,Block Growth Factor
100,20,0.01,1.2

PUMP INFORMATION
Pumping Scheme,Number of Pump Times,Deliverability,Production Index,Cutoff Pressure
Step Flows,1,0,0.0,0.0

Time [s],Mass Flowrate [kg/s]
43200.0,-5.0

OBSERVATION POINT 1
Property Observed,Radial Location [m],Number of Observations,Error Standard Deviation
Pressure,0.009999,644,50000

Time [s],Observation
0.0,3688717.0657616025
391.91290824261273,2590287.3708752636
783.8258164852255,2546784.561660222
1175.7387247278382,2568840.877638788
1567.651632970451,2518949.3252863595
1959.5645412130636,2350645.390419632
2351.4774494556764,2427976.445189783
2743.3903576982893,2355793.844097545
3135.303265940902,2343387.9974940163
3527.2161741835143,2355650.4141559633
3919.1290824261273,2330669.6182106487
4311.04199066874,2386802.374888547
4702.954898911353,2342204.380103892
5094.867807153965,2299765.4860911476
5486.780715396579,2306741.500263615
5878.693623639191,2294485.5255114427
6270.606531881804,2347830.07537801
6662.519440124416,2256753.0059361025
7054.432348367029,2275113.3600453357
7446.345256609642,2207238.712680252
7838.258164852255,2113239.3218755964
8230.171073094867,2268497.667367487
8622.08398133748,2276035.0725049404
9013.996889580092,2193758.9791439665
9405.909797822706,2343194.5878135376
9797.822706065319,2151608.595499946
10189.73561430793,2220028.3972168327
10581.648522550544,2199375.4093825724
10973.561430793157,2276687.6741835577
11365.474339035769,2265884.952336328
11757.387247278382,2195037.966722167
12149.300155520994,2204703.6260597883
12541.213063763607,2141930.095622184
12933.12597200622,2088864.663338773
13325.038880248832,2172272.748783641
13716.951788491446,2196977.7904444668
14108.864696734057,2247657.9286687886
14500.77760497667,2240195.075573638
14892.690513219284,2152009.9910576004
15284.603421461896,2146864.012093986
15676.51632970451,2099939.445768067
16068.429237947123,2073091.8085481443
16460.342146189734,2052724.9612714606
16852.255054432346,2233429.0471801558
17244.16796267496,2109297.094665095
17636.080870917573,2114910.1814308893
18027.993779160184,2077570.5357729143
18419.9066874028,2183946.860312489
18811.81959564541,2067584.9504780564
19203.732503888023,2140725.7698075967
19595.645412130638,2107202.487077504
19987.55832037325,2170291.003372379
20379.47122861586,2121448.4935520827
20771.384136858476,2081950.6398629306
21163.297045101088,2132365.255754376
21555.2099533437,2146585.8920724397
21947.122861586315,2119094.8823964624
22339.035769828926,2121787.556649745
22730.948678071538,2066278.4220872049
23122.86158631415,2072895.4538006955
23514.774494556765,2052078.993321201
23906.687402799376,2064651.490905592
24298.600311041988,2040833.6099133543
24690.513219284603,1995951.201217577
25082.426127527215,2094494.5102137486
25474.339035769826,2069510.4315246283
25866.25194401244,2012714.1948197382
26258.164852255053,2123256.869526998
26650.077760497665,2059415.858958525
27041.99066874028,2112033.9983965997
27433.90357698289,2149395.5299608256
27825.816485225503,2121167.322950104
28217.729393468115,2172398.067472469
28609.64230171073,2051790.317970102
29001.55520995334,2131313.109276991
29393.468118195953,2072308.547448201
29785.38102643857,2057270.146568151
30177.29393468118,2065132.5415461054
30569.20684292379,2070884.5646422065
30961.119751166407,2081113.4671488344
31353.03265940902,2011170.9942602327
31744.94556765163,2106619.496875705
32136.858475894245,2076666.9358115953
32528.771384136857,1968603.445496126
32920.68429237947,2114273.613464178
33312.59720062208,2129504.777995459
33704.51010886469,2089501.5466816747
34096.42301710731,2018663.2222916414
34488.33592534992,1972820.6884625545
34880.24883359253,2080091.4435936715
35272.161741835145,2008511.1431183317
35664.07465007776,2093175.5606717032
36055.98755832037,2046065.793956281
36447.900466562984,2089357.1670068584
36839.8133748056,2063316.0558277979
37231.72628304821,2086329.4707283464
37623.63919129082,2056719.9995815852
38015.55209953344,2151164.0475091278
38407.465007776045,2072438.6861097212
38799.37791601866,2090344.9761149585
39191.290824261276,2168123.0078736884
39583.203732503884,2008023.2610717888
39975.1166407465,2013315.6423018016
40367.029548989114,2126338.281826314
40758.94245723172,2017913.7159251668
41150.85536547434,2172946.888075835
41542.76827371695,2051680.2988051116
41934.68118195956,2031227.3209656463
42326.594090202176,2160992.3847269122
42718.50699844479,2133432.485835997
43110.4199066874,2146977.2760020713
43502.332814930014,3050690.564799494
43894.24572317263,3035283.5014808425
44286.15863141524,3210210.998500089
44678.07153965785,3125296.383848523
45069.98444790046,3199346.2501794533
45461.897356143076,3219592.9830651744
45853.81026438569,3177462.3503176062
46245.7231726283,3225653.780694539
46637.636080870914,3252249.594793586
47029.54898911353,3230656.3593840273
47421.46189735614,3164103.393104837
47813.37480559875,3242716.450376297
48205.28771384137,3298147.047020627
48597.200622083976,3201484.7273687827
48989.11353032659,3236228.715069782
49381.026438569206,3226806.020948002
49772.939346811814,3344382.521947271
50164.85225505443,3288625.874835306
50556.765163297045,3281400.305722264
50948.67807153965,3227944.1547475965
51340.59097978227,3295983.8585616588
51732.50388802488,3236883.3765301513
52124.41679626749,3274511.3296042993
52516.329704510106,3245888.5790326637
52908.24261275272,3318374.6549682864
53300.15552099533,3315049.8054927727
53692.068429237945,3277059.713678761
54083.98133748056,3308791.618115954
54475.89424572317,3235124.7145046233
54867.80715396578,3216218.0717859035
55259.7200622084,3314984.5990555924
55651.632970451006,3305377.0505555505
