Log Time(s),Pressure(Pa)
0,3601587.6471113707
6.078475924097612,3600360.1413934254
6.771623104657557,3600880.039871429
7.177088212765721,3601997.1026527775
7.464770285217503,3601577.7875004397
7.687913836531712,3598831.9010838964
7.870235393325666,3600267.084640503
8.024386073152925,3598870.319109527
8.157917465777448,3598416.691701631
8.275700501433832,3598307.438729449
8.381061017091657,3597437.4557204987
8.476371196895983,3597940.190611042
8.563382573885612,3596607.5719123296
8.643425281559148,3595299.0511521883
8.71753325371287,3594837.702502905
8.786526125199822,3593976.605497783
8.851064646337393,3594250.403021955
8.911689268153827,3591953.029212295
8.968847681993777,3591647.550333738
9.022914903264052,3589831.6389779397
9.074208197651602,3587543.4658253086
9.122998361821034,3589663.4287963673
9.169518377455928,3589101.7670801305
9.213970140026762,3586917.899557164
9.256529754445557,3588884.6602426707
9.297351748965813,3584820.2869955525
9.336572462119094,3585449.384196192
9.374312790101941,3584534.417790601
9.410680434272816,3585379.0836408907
9.445771754084086,3584635.3680739836
9.479673305759768,3582781.0477118804
9.512463128582757,3582313.9074392067
9.544211826897339,3580523.1390129295
9.574983485564092,3578897.2308828393
9.604836448713773,3579720.8906989107
9.633823985587025,3579543.470559541
9.661994862553723,3579884.8224664573
9.689393836741836,3579249.2704718024
9.716062083823997,3577225.781637029
9.742037570227259,3576709.1250073533
9.767355378211548,3575457.7647872223
9.792047990801919,3574550.0458005825
9.81614554238098,3573726.8021298237
9.839676039791174,3576435.6849048096
9.862665558015873,3573685.231701318
9.885138413867931,3573205.2218142096
9.907117320586707,3571940.998318349
9.928623525807671,3573225.2949747606
9.949676935005503,3570567.664992647
9.970296222208239,3571303.922519935
9.990498929525758,3570186.2884651166
10.010301556821938,3570829.6015637727
10.029719642679039,3569533.421546394
10.048767837649734,3568447.2059410946
10.067459970661886,3568993.330630216
10.085809109330082,3568924.4131986927
10.103827614832761,3568131.390061434
10.121527191932161,3567877.4349524197
10.138918934644032,3566583.2850841605
10.15601336800333,3566372.3992392193
10.172820486319713,3565648.6383089856
10.189349788270922,3565485.318826083
10.205610309142703,3564643.9316527084
10.221610650489145,3563398.184041167
10.237359007457284,3564667.791018648
10.25286319399325,3563729.547716375
10.268130666124037,3562217.8148379857
10.283168543488578,3563669.7654540446
10.297983629273718,3562041.2791274744
10.31258242869487,3562492.080962609
10.32697116614697,3562695.873885506
10.341155801138926,3561766.5564291016
10.355142043113666,3562275.4505757797
10.368935365246003,3559775.209463383
10.382541017301781,3560850.10818928
10.395964037633922,3559503.944732143
10.409209264383943,3558963.8551246314
10.422281345951296,3558852.901664117
10.435184750787204,3558723.70329773
10.447923776564632,3558687.46629792
10.460502558771493,3557241.207859769
10.47292507877005,3558722.680342369
10.485195171361864,3557982.758537746
10.49731653189421,3555853.003516565
10.509292722940925,3558196.502225442
10.521127180587929,3558216.023968587
10.53282322035112,3557238.741925952
10.544384042752196,3555694.3871049276
10.555812738575819,3554569.2488667304
10.567112293829751,3556127.947797055
10.578285594427877,3554505.171680193
10.589335430614462,3555625.4582470725
10.600264501146652,3554402.774931678
10.611075417250868,3554766.8315315032
10.621770706367615,3553899.9002006967
10.632352815698153,3553897.9054676658
10.642824115565448,3552969.207710334
10.653186902600995,3554238.3160395985
10.663443402768184,3552459.7811489743
10.673595774232203,3552401.510249625
