Log Time(s),Pressure(Pa)
0,3601587.6471113707
6.078475924097612,3600360.1412293795
6.771623104657557,3600879.4924747436
7.177088212765721,3601989.0836576754
7.464770285217503,3601547.6096524564
7.687913836531712,3598765.9792715493
7.870235393325666,3600157.1803374463
8.024386073152925,3598713.500068698
8.157917465777448,3598213.492383885
8.275700501433832,3598060.523761116
8.381061017091657,3597150.6740661925
8.476371196895983,3597617.6862977436
8.563382573885612,3596253.84455454
8.643425281559148,3594918.308419997
8.71753325371287,3594433.802374014
8.786526125199822,3593553.231009165
8.851064646337393,3593810.734460725
8.911689268153827,3591500.3854521997
8.968847681993777,3591184.38797227
9.022914903264052,3589360.580712854
9.074208197651602,3587066.752067887
9.122998361821034,3589182.4171746164
9.169518377455928,3588618.553457049
9.213970140026762,3586434.258043719
9.256529754445557,3588401.4220509236
9.297351748965813,3584339.506715367
9.336572462119094,3584971.542948786
9.374312790101941,3584060.716582619
9.410680434272816,3584910.1813187203
9.445771754084086,3584172.2706352957
9.479673305759768,3582324.608929393
9.512463128582757,3581864.586204326
9.544211826897339,3580081.669551123
9.574983485564092,3578464.098070172
9.604836448713773,3579296.255020076
9.633823985587025,3579127.8626475423
9.661994862553723,3579478.5492786113
9.689393836741836,3578852.769532422
9.716062083823997,3576839.491307972
9.742037570227259,3576333.1352581773
9.767355378211548,3575092.3785533872
9.792047990801919,3574195.4261799576
9.81614554238098,3573383.1163639654
9.839676039791174,3576102.7584558553
9.862665558015873,3573363.7124412768
9.885138413867931,3572895.017462872
9.907117320586707,3571642.2773898183
9.928623525807671,3572937.9357356117
9.949676935005503,3570292.0580001557
9.970296222208239,3571039.8654427556
9.990498929525758,3569933.9719220772
10.010301556821938,3570588.9442820633
10.029719642679039,3569304.587635083
10.048767837649734,3568230.2012660247
10.067459970661886,3568788.0736743556
10.085809109330082,3568730.9534708625
10.103827614832761,3567949.7701670486
10.121527191932161,3567707.6243913653
10.138918934644032,3566425.3233522004
10.15601336800333,3566226.223662127
10.172820486319713,3565514.252694003
10.189349788270922,3565362.680978498
10.205610309142703,3564533.0397801544
10.221610650489145,3563299.018725061
10.237359007457284,3564580.254149472
10.25286319399325,3563653.663647016
10.268130666124037,3562153.554332385
10.283168543488578,3563617.039101093
10.297983629273718,3562000.094119566
10.31258242869487,3562462.3697540546
10.32697116614697,3562677.599245177
10.341155801138926,3561759.6789140147
10.355142043113666,3562279.9217473567
10.368935365246003,3559790.9736703355
10.382541017301781,3560877.1300814734
10.395964037633922,3559542.15744133
10.409209264383943,3559013.2128501097
10.422281345951296,3558913.359014071
10.435184750787204,3558795.2092180164
10.447923776564632,3558769.9715405484
10.460502558771493,3557334.624042336
10.47292507877005,3558827.032871557
10.485195171361864,3558097.932582866
10.49731653189421,3555978.8930846155
10.509292722940925,3558333.2137731146
10.521127180587929,3558363.422561087
10.53282322035112,3557396.730466932
10.544384042752196,3555862.879847647
10.555812738575819,3554748.2046505986
10.567112293829751,3556317.4498707093
10.578285594427877,3554704.997183666
10.589335430614462,3555835.706792916
10.600264501146652,3554623.254629846
10.611075417250868,3554997.5853485516
10.621770706367615,3554140.7939308775
10.632352815698153,3554148.942531857
10.642824115565448,3553230.26744679
10.653186902600995,3554509.508511753
10.663443402768184,3552740.8202074515
10.673595774232203,3552692.4748629755
